กอ	k ɔː
คุ้ย	kʰ u j 3
ข้อง	kʰ ɔ ŋ 2
ปรัสเซีย	p r a t̚ 1 . s i a̯
สาลี่	s aː 4 . l iː 2
อินสตาแกรม	ʔ i n . s a 1 . t aː . k r ɛ m
คริสตัง	kʰ r i t̚ 3 . s a 1 . t a ŋ
ฟันเฟือง	f a n . f ɯ a̯ ŋ
ร้องเรียน	r ɔː ŋ 3 . r i a̯ n
อารมณ์ขัน	ʔ aː . r o m . kʰ a n 4
ปัง	p a ŋ
เดน	d eː n
แอกทิเนียม	ʔ ɛ k̚ 3 . tʰ i 3 . n i a̯ m 2
กลบบัตรสุมเพลิง	k l o p̚ 1 . b a t̚ 1 . s u m 4 . pʰ l ɤː ŋ
เบี้ยว	b i a̯ w 2
ดูกร	d uː . k ɔː n
มุมป้าน	m u m . p aː n 2
ระงับ	r a 3 . ŋ a p̚ 3
คลี่	kʰ l iː 2
บัดนี้	b a t̚ 1 . n iː 3
มาตุลา	m aː . t u 1 . l aː
พรุ่งนี้	pʰ r u ŋ 2 . n iː 3
เปรอะ	p r ɤ ʔ 1
ปากท้อง	p aː k̚ 1 . tʰ ɔː ŋ 3
นามิเบีย	n aː . m i 3 . b i a̯
ทูต	tʰ uː t̚ 2
งานวิจัย	ŋ aː n . w i 3 . t͡ɕ a j
หน่อย	n ɔ j 1
เปรู	p eː . r uː
เกลียด	k l i a̯ t̚ 1
โหลด	l oː t̚ 1
ความวัวไม่ทันหาย ความควายเข้ามาแทรก	kʰ w aː m . w u a̯ . m a j 2 . tʰ a n . h aː j 4 . kʰ w aː m . kʰ w aː j . kʰ a w 2 . m aː . s ɛː k̚ 2
โยม	j oː m
นุ่น	n u n 2
ตั้งชื่อ	t a ŋ 2 . t͡ɕʰ ɯː 2
สามสิบ	s aː m 4 . s i p̚ 1
ม้าเร็ว	m aː 3 . r e w
เอส	ʔ eː s 3
ปลายทาง	p l aː j . tʰ aː ŋ
แอปเปิล	ʔ ɛ p̚ 3 . p ɤ n 2
อบายมุข	ʔ a 1 . b aː j . j a 3 . m u k̚ 3
กีฏวิทยา	k iː . t a 1 . w i t̚ 3 . tʰ a 3 . j aː
น้ำท่วม	n aː m 3 . tʰ u a̯ m 2
พ่วง	pʰ u a̯ ŋ 2
สาวิกา	s aː 4 . w i 3 . k aː
น้ำป่า	n aː m 3 . p aː 1
อาญาสิทธิ์	ʔ aː . j aː . s i t̚ 1
อัศจรรย์	ʔ a t̚ 1 . s a 1 . t͡ɕ a n
ประกอบ	p r a 1 . k ɔː p̚ 1
เวลส์	w eː l
อูฐ	ʔ uː t̚ 1
รถเครื่อง	r o t̚ 3 . kʰ r ɯ a̯ ŋ 2
สูด	s uː t̚ 1
กาฬโรค	k aː n . l a 3 . r oː k̚ 2
ทุเลา	tʰ u 3 . l a w
เชื้อรา	t͡ɕʰ ɯ a̯ 3 . r aː
พวกพ้อง	pʰ u a̯ k̚ 2 . pʰ ɔː ŋ 3
เท	tʰ eː
ศักราช	s a k̚ 1 . k a 1 . r aː t̚ 1
ไย่	j a j 2
มัดจำ	m a t̚ 3 . t͡ɕ a m
สมัครเล่น	s a 1 . m a k̚ 1 . l e n 2
ชื่อสกุล	t͡ɕʰ ɯː 2 . s a 1 . k u n
ซ้าย	s aː j 3
สันตะปาปา	s a n 4 . t a 1 . p aː . p aː
โขน	kʰ oː n 4
โครเอเชีย	kʰ r oː . ʔ eː . t͡ɕʰ i a̯
ตึก	t ɯ k̚ 1
เฉย	t͡ɕʰ ɤː j 4
กระชาก	k r a 1 . t͡ɕʰ aː k̚ 2
เสถียรภาพ	s a 1 . tʰ i a̯ n 4 . r a 3 . pʰ aː p̚ 2
ไอน์สไตเนียม	ʔ aː j . s a 1 . t aː j . n i a̯ m 2
สุดขีด	s u t̚ 1 . kʰ iː t̚ 1
อุตุนิยม	ʔ u 1 . t u 1 . n i 3 . j o m
สัมพันธ์	s a m 4 . pʰ a n
น่า	n aː 2
เบริลเลียม	b eː . r i l . l i a̯ m 2
ตรัง	t r a ŋ
ฉีด	t͡ɕʰ iː t̚ 1
วง	w o ŋ
เจ็ด	t͡ɕ e t̚ 1
ตะเกียบ	t a 1 . k i a̯ p̚ 1
ศึก	s ɯ k̚ 1
หัวหด	h u a̯ 4 . h o t̚ 1
จาร	t͡ɕ aː n
ลำนำ	l a m . n a m
ลูกบิด	l uː k̚ 2 . b i t̚ 1
รองพื้น	r ɔː ŋ . pʰ ɯː n 3
ดาว	d aː w
ง่อย	ŋ ɔ j 2
อัลมอนด์	ʔ a l . m ɔ n 2
นครหลวง	n a 3 . kʰ ɔː n . l u a̯ ŋ 4
ถ่วง	tʰ u a̯ ŋ 1
การยักยอก	k aː n . j a k̚ 3 . j ɔː k̚ 2
หย่อม	j ɔ m 1
กดขี่	k o t̚ 1 . kʰ iː 1
ความแน่วแน่	kʰ w aː m . n ɛː w 2 . n ɛː 2
หัวหน้า	h u a̯ 4 . n aː 2
ห้องใต้ดิน	h ɔ ŋ 2 . t a j 2 . d i n
ข้าวต้ม	kʰ aː w 2 . t o m 2
อนุบาล	ʔ a 1 . n u 3 . b aː n
การเต้นรำ	k aː n . t e n 2 . r a m
ให้ยืม	h a j 2 . j ɯː m
ญวน	j u a̯ n
ครุย	kʰ r u j
ปกติ	p a 1 . k a 1 . t i ʔ 1
ปด	p o t̚ 1
ศีลธรรม	s iː n 4 . tʰ a m
ที่เขี่ยบุหรี่	tʰ iː 2 . kʰ i a̯ 1 . b u 1 . r iː 1
ตะแหมะแขะ	t a 1 . m ɛ ʔ 1 . kʰ ɛ ʔ 1
การสวม	k aː n . s u a̯ m 4
แตร	t r ɛː
โอนอ่อน	ʔ oː n . ʔ ɔː n 1
เจอร์เมเนียม	t͡ɕ ɤː . m eː . n i a̯ m 2
ดอกจัน	d ɔː k̚ 1 . t͡ɕ a n
ตาว	t aː w
ทัศนาจร	tʰ a t̚ 3 . s a 1 . n aː . t͡ɕ ɔː n
รั่ว	r u a̯ 2
ซีเมนต์	s iː . m e n
หลังบ้าน	l a ŋ 4 . b aː n 2
ขับร้อง	kʰ a p̚ 1 . r ɔː ŋ 3
หินตะกอน	h i n 4 . t a 1 . k ɔː n
ไล่ผี	l a j 2 . pʰ iː 4
หน้าผาก	n aː 2 . pʰ aː k̚ 1
เคาะ	kʰ ɔ ʔ 3
ชิมแปนซี	t͡ɕʰ i m . p ɛː n . s iː
หมั้น	m a n 2
เลาะ	l ɔ ʔ 3
พื้นดิน	pʰ ɯː n 3 . d i n
เกร็ด	k r e t̚ 1
จะงอย	t͡ɕ a 1 . ŋ ɔː j
ต่ำต้อย	t a m 1 . t ɔː j 2
ป้องกัน	p ɔ ŋ 2 . k a n
อุบาทว์	ʔ u 1 . b aː t̚ 1
ลำดับชั้น	l a m . d a p̚ 1 . t͡ɕʰ a n 3
ความดี	kʰ w aː m . d iː
พ่ะย่ะค่ะ	pʰ a 2 . j a 2 . kʰ a ʔ 2
ทองแดง	tʰ ɔː ŋ . d ɛː ŋ
ความดันโลหิต	kʰ w aː m . d a n . l oː . h i t̚ 1
หลอก	l ɔː k̚ 1
สิงห์	s i ŋ 4
ปักษิน	p a k̚ 1 . s i n 4
กับ	k a p̚ 1
คละ	kʰ l a ʔ 3
ข้าวเกรียบ	kʰ aː w 2 . k r i a̯ p̚ 1
แมลงปีกแข็ง	m a 3 . l ɛː ŋ . p iː k̚ 1 . kʰ ɛ ŋ 4
ปุ๊บ	p u p̚ 3
สนิท	s a 1 . n i t̚ 1
เกี่ยวกับ	k i a̯ w 1 . k a p̚ 1
กฎหมายปกครอง	k o t̚ 1 . m aː j 4 . p o k̚ 1 . kʰ r ɔː ŋ
หลุมฝังศพ	l u m 4 . f a ŋ 4 . s o p̚ 1
นมข้น	n o m . kʰ o n 2
นภา	n a 3 . pʰ aː
กุณฑี	k u n . tʰ iː
ไส้	s a j 2
ขนอุย	kʰ o n 4 . ʔ u j
เยอรมัน	j ɤː . r a 3 . m a n
แหล่	l ɛː 1
เสริมสวย	s ɤː m 4 . s u a̯ j 4
การวิจัย	k aː n . w i 3 . t͡ɕ a j
ทัวร์	tʰ u a̯
ป้าย	p aː j 2
ภิกษุ	pʰ i k̚ 3 . s u ʔ 1
ภูเก็ต	pʰ uː . k e t̚ 1
เชฟ	t͡ɕʰ eː p̚ 2
ครุ่นคิด	kʰ r u n 2 . kʰ i t̚ 3
จรรยาบรรณ	t͡ɕ a n . j aː . b a n
วาด	w aː t̚ 2
กระสา	k r a 1 . s aː 4
ซับซ้อน	s a p̚ 3 . s ɔː n 3
นวยนาด	n u a̯ j . n aː t̚ 2
จำนวนเต็ม	t͡ɕ a m . n u a̯ n . t e m
ใบไม้	b a j . m aː j 3
อากาศยาน	ʔ aː . k aː t̚ 1 . s a 1 . j aː n
คุณค่า	kʰ u n . kʰ aː 2
กล้องถ่ายภาพ	k l ɔ ŋ 2 . tʰ aː j 1 . pʰ aː p̚ 2
ตูด	t uː t̚ 1
อัธยาตมวิทยา	ʔ a t̚ 1 . tʰ a 3 . j aː t̚ 2 . t a 1 . m a 3 . w i t̚ 3 . tʰ a 3 . j aː
ยาแดง	j aː . d ɛː ŋ
หูหนวก	h uː 4 . n u a̯ k̚ 1
หุ้นส่วน	h u n 2 . s u a̯ n 1
เมืองขึ้น	m ɯ a̯ ŋ . kʰ iː n 2
ตระหนัก	t r a 1 . n a k̚ 1
ถุง	tʰ u ŋ 4
ตื่น	t ɯː n 1
ค่าปรับ	kʰ aː 2 . p r a p̚ 1
โทรศัพท์สาธารณะ	tʰ oː . r a 3 . s a p̚ 1 . s aː 4 . tʰ aː . r a 3 . n a ʔ 3
โลโต	l oː . t oː
ตัวคูณร่วมน้อย	t u a̯ . kʰ uː n . r u a̯ m 2 . n ɔː j 3
ไม่ดี	m a j 2 . d iː
กลัว	k l u a̯
ศาลยุติธรรม	s aː n 4 . j u t̚ 3 . t i 1 . tʰ a m
เหือด	h ɯ a̯ t̚ 1
ครับผม	kʰ r a p̚ 3 . pʰ o m 4
นิวเม็กซิโก	n i w . m e k̚ 3 . s i 3 . k oː
มี	m iː
บท	b o t̚ 1
ทึ่ม	tʰ ɯ m 2
อุบาย	ʔ u 1 . b aː j
ทำเนียบขาว	tʰ a m . n i a̯ p̚ 2 . kʰ aː w 4
บางคน	b aː ŋ . kʰ o n
ปราศจาก	p r aː t̚ 1 . s a 1 . t͡ɕ aː k̚ 1
เข้าเมืองตาหลิ่วต้องหลิ่วตาตาม	kʰ a w 2 . m ɯ a̯ ŋ . t aː . l i w 1 . t ɔ ŋ 2 . l i w 1 . t aː . t aː m
ช้อนโต๊ะ	t͡ɕʰ ɔː n 3 . t o ʔ 3
ขงจื๊อ	kʰ o ŋ 4 . t͡ɕ ɯː 3
เข้าร่วม	kʰ a w 2 . r u a̯ m 2
กาลเทศะ	k aː . l a 3 . tʰ eː . s a ʔ 1
ก๊าซ	k aː t̚ 3
การพิจารณา	k aː n . pʰ i 3 . t͡ɕ aː . r a 3 . n aː
น้ำตา	n a m 3 . t aː
การพลิก	k aː n . pʰ l i k̚ 3
ภรตวรรษ	pʰ a 3 . r o t̚ 3 . t a 1 . w a t̚ 3
อื่น	ʔ ɯː n 1
ต้ม	t o m 2
เทศนา	tʰ eː t̚ 2 . s a 1 . n aː 4
ยาตรา	j aː t̚ 2 . t r aː
รอ	r ɔː
แกมมา	k ɛː m . m aː 2
ดอกเบี้ย	d ɔː k̚ 1 . b i a̯ 2
อิตเทอร์เบียม	ʔ i t̚ 1 . tʰ ɤː . b i a̯ m 2
เข้าข้าง	kʰ a w 2 . kʰ aː ŋ 2
ถีบ	tʰ iː p̚ 1
ทิพย	tʰ i p̚ 3 . pʰ a 3 . j a 3 . 
รับมือ	r a p̚ 3 . m ɯː
บริษัท	b ɔː . r i 3 . s a t̚ 1
แพร่	pʰ r ɛː 2
ฝุ่น	f u n 1
ไพฑูรย์	pʰ a j . tʰ uː n
แตง	t ɛː ŋ
เฝ้า	f a w 2
คู้	kʰ uː 3
มหายาน	m a 3 . h aː 4 . j aː n
ปลีก	p l iː k̚ 1
สแกน	s a 1 . k ɛː n
ฮีโร่	h iː . r oː 2
สวัสดิการ	s a 1 . w a t̚ 1 . d i 1 . k aː n
ช้ำ	t͡ɕʰ a m 3
อีดอก	ʔ iː . d ɔː k̚ 1
เปี่ยม	p i a̯ m 1
ลิปดา	l i p̚ 3 . d aː
คะนอง	kʰ a 3 . n ɔː ŋ
ปรับปรุง	p r a p̚ 1 . p r u ŋ
ค้าประเวณี	kʰ aː 3 . p r a 1 . w eː . n iː
รอบรู้	r ɔː p̚ 2 . r uː 3
ดานูบ	d aː . n uː p̚ 2
เยื่อใย	j ɯ a̯ 2 . j a j
ตะหลิว	t a 1 . l i w 4
วิทยาศาสตร์	w i t̚ 3 . tʰ a 3 . j aː . s aː t̚ 1
ประหารชีวิต	p r a 1 . h aː n 4 . t͡ɕʰ iː . w i t̚ 3
ข้าวโพดคั่ว	kʰ aː w 2 . pʰ oː t̚ 2 . kʰ u a̯ 2
คืบหน้า	kʰ ɯː p̚ 2 . n aː 2
ปืนใหญ่	p ɯː n . j a j 1
กล่องเสียง	k l ɔ ŋ 1 . s i a̯ ŋ 4
แบตเตอรี่	b ɛ t̚ 1 . t ɤː . r iː 2
ผ่าเหล่า	pʰ aː 1 . l a w 1
ปรง	p r o ŋ
ชาดก	t͡ɕʰ aː . d o k̚ 1
ลูกดอก	l uː k̚ 2 . d ɔː k̚ 1
หนัง	n a ŋ 4
ปักเป้า	p a k̚ 1 . k a 1 . p a w 2
อัด	ʔ a t̚ 1
การลอบสังหาร	k aː n . l ɔː p̚ 2 . s a ŋ 4 . h aː n 4
ไซน์	s aː j
เมลเบิร์น	m e l . b ɤː n
ม้าน้ำ	m aː 3 . n aː m 3
ไหปลาร้า	h a j 4 . p l aː . r aː 3
อัสสัม	ʔ a t̚ 1 . s a m 4
กฤษฎีกา	k r i t̚ 1 . s a 1 . d iː . k aː
พื้นบ้าน	pʰ ɯː n 3 . b aː n 2
ชาย	t͡ɕʰ aː j
จำหน่าย	t͡ɕ a m . n aː j 1
กระถางดอกไม้	k r a 1 . tʰ aː ŋ 4 . d ɔː k̚ 1 . m aː j 3
ภิกขุ	pʰ i k̚ 3 . kʰ u ʔ 1
นักกฎหมาย	n a k̚ 3 . k o t̚ 1 . m aː j 4
ตั้งไข่	t a ŋ 2 . kʰ a j 1
เสียน้ำใจ	s i a̯ 4 . n a m 3 . t͡ɕ a j
กระบุง	k r a 1 . b u ŋ
บุก	b u k̚ 1
กร่าง	k r aː ŋ 1
ยิม	j i m
ยูง	j uː ŋ
แพร่ง	pʰ r ɛ ŋ 2
หมู	m uː 4
เฉียด	t͡ɕʰ i a̯ t̚ 1
เซน	s eː n
สถูป	s a 1 . tʰ uː p̚ 1
ให้อภัย	h a j 2 . ʔ a 1 . pʰ a j
วาติกัน	w aː . t i 1 . k a n
กริ่งเกรง	k r i ŋ 1 . k r eː ŋ
ท้าว	tʰ aː w 3
วิงเวียน	w i ŋ . w i a̯ n
ฟักทอง	f a k̚ 3 . tʰ ɔː ŋ
ริบบิ้น	r i p̚ 3 . b i n 2
ระบาดวิทยา	r a 3 . b aː t̚ 1 . w i t̚ 3 . tʰ a 3 . j aː
ตะเข็บ	t a 1 . kʰ e p̚ 1
ติดเก้ง	t i t̚ 1 . k eː ŋ 2
ลอบ	l a k̚ 3 . l ɔː p̚ 2
การสนอง	k aː n . s a 1 . n ɔː ŋ 4
นิศาบดี	n i 3 . s aː 4 . b ɔː . d iː
จริยธรรม	t͡ɕ a 1 . r i 3 . j a 3 . tʰ a m
เชื่อถือ	t͡ɕʰ ɯ a̯ 2 . tʰ ɯː 4
แก่น	k ɛ n 1
ขยิบ	kʰ a 1 . j i p̚ 1
โยง	j oː ŋ
แคลิฟอร์เนีย	kʰ ɛː . l i 3 . f ɔː . n i a̯
ชุดว่ายน้ำ	t͡ɕʰ u t̚ 3 . w aː j 2 . n aː m 3
โทรสาร	tʰ oː . r a 3 . s aː n 4
เต้าเจี้ยว	t a w 2 . t͡ɕ i a̯ w 2
แองโกลา	ʔ ɛ ŋ . k oː . l aː 2
ป้อง	p ɔ ŋ 2
หมัน	m a n 4
ปะ	p a ʔ 1
ประณต	p r a 1 . n o t̚ 3
มอลโดวา	m ɔː n . d oː . w aː 2
โบสถ์	b oː t̚ 1
ชีพจร	t͡ɕʰ iː p̚ 2 . pʰ a 3 . t͡ɕ ɔː n
สารละลาย	s aː n 4 . l a 3 . l aː j
ข่มขู่	kʰ o m 1 . kʰ uː 1
เส้นเลือดฝอย	s eː n 2 . l ɯ a̯ t̚ 2 . f ɔ j 4
ท่านผู้หญิง	tʰ a n 2 . pʰ uː 2 . j i ŋ 4
ปลั่ง	p l a ŋ 1
เสียโฉม	s i a̯ 4 . t͡ɕʰ oː m 4
นักฟิสิกส์	n a k̚ 3 . f i 3 . s i k̚ 1
ประชาคม	p r a 1 . t͡ɕʰ aː . kʰ o m
ไก่งวง	k a j 1 . ŋ u a̯ ŋ
อี	ʔ iː
เสาวรส	s a w 4 . w a 3 . r o t̚ 3
ทันตแพทยศาสตร์	tʰ a n . t a 1 . pʰ ɛː t̚ 2 . tʰ a 3 . j a 3 . s aː t̚ 1
ไหว้	w aː j 2
ใจเย็น	t͡ɕ a j . j e n
โฮลเมียม	h oː l . m i a̯ m 2
ขด	kʰ o t̚ 1
มาศ	m aː t̚ 2
ยวน	j u a̯ n
กบ	k o p̚ 1
ริบ	r i p̚ 3
ธูปฤๅษี	tʰ uː p̚ 2 . r ɯː . s iː 4
ธาตุ	tʰ aː t̚ 2
กาง	k aː ŋ
กระบองเพชร	k r a 1 . b ɔː ŋ . pʰ e t̚ 3
ทำลาย	tʰ a m . l aː j
ด่างทับทิม	d aː ŋ 1 . tʰ a p̚ 3 . tʰ i m
เผย	pʰ ɤː j 4
เต้าหู้	t a w 2 . h uː 2
ซอง	s ɔː ŋ
ลงมือ	l o ŋ . m ɯː
หยอด	j ɔː t̚ 1
ศาลากลางจังหวัด	s aː 4 . l aː . k l aː ŋ . t͡ɕ a ŋ . w a t̚ 1
ชัยชนะ	t͡ɕʰ a j . t͡ɕʰ a 3 . n a ʔ 3
น้ำยาบ้วนปาก	n a m 3 . j aː . b u a̯ n 2 . p aː k̚ 1
นักเลงสุรา	n a k̚ 3 . l eː ŋ . s u 1 . r aː
กาสิโน	k aː . s i 1 . n oː
หน้าม้า	n aː 2 . m aː 3
เห	h eː 4
สุริยุปราคา	s u 1 . r i 3 . j u 3 . p a 1 . r aː . kʰ aː
สมน้ำหน้า	s o m 4 . n a m 3 . n aː 2
ปรากฤต	p r aː . k r i t̚ 1
ผลิตภัณฑ์	pʰ a 1 . l i t̚ 1 . t a 1 . pʰ a n
เจ้าของ	t͡ɕ a w 2 . kʰ ɔː ŋ 4
เสาอากาศ	s a w 4 . ʔ aː . k aː t̚ 1
คีรี	kʰ iː . r iː
หวั่น	w a n 1
ชนบท	t͡ɕʰ o n . n a 3 . b o t̚ 1
กำมะถัน	k a m . m a 3 . tʰ a n 4
ปฏิบัติ	p a 1 . t i 1 . b a t̚ 1
สาป	s aː p̚ 1
บริโภค	b ɔː . r i 3 . pʰ oː k̚ 2
อาร์กอน	ʔ aː . k ɔ n 2
ราชย์	r aː t̚ 2
ลูกพี่ลูกน้อง	l uː k̚ 2 . pʰ iː 2 . l uː k̚ 2 . n ɔː ŋ 3
การเฝ้า	k aː n . f a w 2
อาหารทะเล	ʔ aː . h aː n 4 . tʰ a 3 . l eː
ระแวง	r a 3 . w ɛː ŋ
เขา	kʰ a w 4
ริ้ว	r i w 3
เห็นแก่	h e n 4 . k ɛː 1
พันธมิตร	pʰ a n . tʰ a 3 . m i t̚ 3
เนปาล	n eː . p aː n
รา	r aː
โม่ง	m oː ŋ 2
อุทาหรณ์	ʔ u 1 . tʰ aː . h ɔː n 4
มหิษี	m a 3 . h i 1 . s iː 4
แคนตาลูป	kʰ ɛː n . t aː . l uː p̚ 3
แทะโลม	tʰ ɛ ʔ 3 . l oː m
บัลแกเรีย	b a n . k ɛː . r i a̯
ควาญช้าง	kʰ w aː n . t͡ɕʰ aː ŋ 3
แข็งใจ	kʰ ɛ ŋ 4 . t͡ɕ a j
น่าไว้ใจ	n aː 2 . w a j 3 . t͡ɕ a j
ลวดหนาม	l u a̯ t̚ 2 . n aː m 4
ละ	l a ʔ 3
งุ้ม	ŋ u m 3
กระบวน	k r a 1 . b u a̯ n
เวอร์มอนต์	w ɤː . m ɔ n 2
ไพร	pʰ r a j
จิ้งจอก	t͡ɕ i ŋ 2 . t͡ɕ ɔː k̚ 1
ลี้	l iː 3
อัมพวา	ʔ a m . pʰ a 3 . w aː
ครอบครอง	kʰ r ɔː p̚ 2 . kʰ r ɔː ŋ
วน	w o n
ช่วง	t͡ɕʰ u a̯ ŋ 2
ระบบประสาท	r a 3 . b o p̚ 1 . p r a 1 . s aː t̚ 1
สำเร็จ	s a m 4 . r e t̚ 1
ขี้ตา	kʰ iː 2 . t aː
สบู่เหลว	s a 1 . b uː 1 . l eː w 4
สมบัติ	s o m 4 . b a t̚ 1
ใยแมงมุม	j a j . m ɛː ŋ . m u m
ร้อย	r ɔː j 3
ซีด	s iː t̚ 2
ฟ้องร้อง	f ɔː ŋ 3 . r ɔː ŋ 3
ว่าแต่เขาอิเหนาเป็นเอง	w aː 2 . t ɛː 1 . kʰ a w 4 . ʔ i 1 . n a w 4 . p e n . ʔ eː ŋ
กระตุกหนวดเสือ	k r a 1 . t u k̚ 1 . n u a̯ t̚ 1 . s ɯ a̯ 4
กว้างใหญ่	k w aː ŋ 2 . j a j 1
ไก	k a j
ตรรกศาสตร์	t a k̚ 1 . k a 1 . s aː t̚ 1
งอ	ŋ ɔː
อ่อนวัย	ʔ ɔː n 1 . w a j
เหมือน	m ɯ a̯ n 4
กลาง	k l aː ŋ
ลำเอียง	l a m . ʔ i a̯ ŋ
อสนีบาต	ʔ a 1 . s a 1 . n iː . b aː t̚ 1
มโนทัศน์	m a 3 . n oː . tʰ a t̚ 3
ผู้สืบสันดาน	pʰ uː 2 . s ɯː p̚ 1 . s a n 4 . d aː n
พ้อ	pʰ ɔː 3
ซึ้ง	s ɯ ŋ 3
เต้าฮวย	t a w 2 . h u a̯ j
ผู้รับบุตรบุญธรรม	pʰ uː 2 . r a p̚ 3 . b u t̚ 1 . b u n . tʰ a m
เช้า	t͡ɕʰ aː w 3
ละครน้ำเน่า	l a 3 . kʰ ɔː n . n aː m 3 . n a w 2
สัตว์	s a t̚ 1
เสื้อกล้าม	s ɯ a̯ 2 . k l aː m 2
ระหว่าง	r a 3 . w aː ŋ 1
พอใช้	pʰ ɔː . t͡ɕʰ a j 3
ภัตตาหาร	pʰ a t̚ 3 . t aː . h aː n 4
คชาชาติ	kʰ a 3 . t͡ɕʰ aː . t͡ɕʰ aː t̚ 2
หัวข้อ	h u a̯ 4 . kʰ ɔː 2
ปาน	p aː n
ชุ่ม	t͡ɕʰ u m 2
ล้น	l o n 3
เพาะ	pʰ ɔ ʔ 3
ประวัติการ	p r a 1 . w a t̚ 1 . t i 1 . k aː n
ผ้าขนหนู	pʰ aː 2 . kʰ o n 4 . n uː 4
เมษายน	m eː . s aː 4 . j o n
เมนเดลีเวียม	m e n . d eː . l iː . w i a̯ m 2
กบเหลาดินสอ	k o p̚ 1 . l a w 4 . d i n . s ɔː 4
การนิยาม	k aː n . n i 3 . j aː m
สว่าง	s a 1 . w aː ŋ 1
ใบ้	b a j 2
วิกาล	w i 3 . k aː n
เบาใจ	b a w . t͡ɕ a j
แค่	kʰ ɛː 2
เอ็มบริโอ	ʔ e m . b r i 1 . ʔ oː
ตีลังกา	t iː . l a ŋ . k aː
กระชาย	k r a 1 . t͡ɕʰ aː j
ต้นคอ	t o n 2 . kʰ ɔː
พาสตา	pʰ aː s 3 . t aː 2
คำติชม	kʰ a m . t i 1 . t͡ɕʰ o m
เครื่องปรับอากาศ	kʰ r ɯ a̯ ŋ 2 . p r a p̚ 1 . ʔ aː . k aː t̚ 1
ยามา	j aː . m aː
น่าสงสาร	n aː 2 . s o ŋ 4 . s aː n 4
กวน	k u a̯ n
ฟักข้าว	f a k̚ 3 . kʰ aː w 2
เกี่ยวข้อง	k i a̯ w 1 . kʰ ɔ ŋ 2
มนุษยชน	m a 3 . n u t̚ 3 . s a 1 . j a 3 . t͡ɕʰ o n
เออออห่อหมก	ʔ ɤː . ʔ ɔː . h ɔː 1 . m o k̚ 1
ล้างสมอง	l aː ŋ 3 . s a 1 . m ɔː ŋ 4
บ่ง	b o ŋ 1
จ้าง	t͡ɕ aː ŋ 2
จี้	t͡ɕ iː 2
ปราย	p r aː j
ส่อ	s ɔː 1
บุรุนดี	b u 1 . r u n . d iː
จุน	t͡ɕ u n
ข้อเสีย	kʰ ɔː 2 . s i a̯ 4
โคร่ง	kʰ r oː ŋ 2
ฆ	kʰ ɔː
มิด	m i t̚ 3
เบ้า	b a w 2
อนาคตกาล	ʔ a 1 . n aː . kʰ o t̚ 3 . t a 1 . k aː n
สุขศึกษา	s u k̚ 1 . kʰ a 1 . s ɯ k̚ 1 . s aː 4
ขวากหนาม	kʰ w aː k̚ 1 . n aː m 4
ความโลภ	kʰ w aː m . l oː p̚ 2
สระน้ำ	s a 1 . n aː m 3
สัตว์เลี้ยง	s a t̚ 1 . l i a̯ ŋ 3
นารายณ์	n aː . r aː j
องค์กร	ʔ o ŋ . k ɔː n
ประสิทธิผล	p r a 1 . s i t̚ 1 . tʰ i 3 . pʰ o n 4
พังพาน	pʰ a ŋ . pʰ aː n
มาลาวี	m aː . l aː . w iː
แน่ว	n ɛ w 2
โรง	r oː ŋ
สยาม	s a 1 . j aː m 4
อัฒภาค	ʔ a t̚ 1 . tʰ a 3 . pʰ aː k̚ 2
ด่าง	d aː ŋ 1
เพลีย	pʰ l i a̯
ออก	ʔ ɔː k̚ 1
ทะลาย	tʰ a 3 . l aː j
มั่วสุม	m u a̯ 2 . s u m 4
เรียก	r i a̯ k̚ 2
เรือข้ามฟาก	r ɯ a̯ . kʰ aː m 2 . f aː k̚ 2
โชเฟอร์	t͡ɕʰ oː . f ɤː 2
ระบาย	r a 3 . b aː j
เข็มกลัด	kʰ e m 4 . k l a t̚ 1
ไม้เท้า	m aː j 3 . tʰ aː w 3
เล็บ	l e p̚ 3
ฝอย	f ɔ j 4
มะเส็ง	m a 3 . s e ŋ 4
หยั่งรู้	j a ŋ 1 . r uː 3
จี๊ด	t͡ɕ iː t̚ 3
กำกับ	k a m . k a p̚ 1
นินจา	n i n . t͡ɕ aː
ดาบปลายปืน	d aː p̚ 1 . p l aː j . p ɯː n
กานา	k aː . n aː 2
ปืนลม	p ɯː n . l o m
ที่เปิดขวด	tʰ iː 2 . p ɤː t̚ 1 . kʰ u a̯ t̚ 1
สระบุรี	s a 1 . r a 1 . b u 1 . r iː
เทพารักษ์	tʰ eː . pʰ aː . r a k̚ 3
คำฟ้อง	kʰ a m . f ɔː ŋ 3
ยวบ	j u a̯ p̚ 2
ของโจร	kʰ ɔː ŋ 4 . t͡ɕ oː n
น้ำเชื้อ	n aː m 3 . t͡ɕʰ ɯ a̯ 3
สาหร่าย	s aː 4 . r aː j 1
ออกเสียง	ʔ ɔː k̚ 1 . s i a̯ ŋ 4
ผู้ริเริ่ม	pʰ uː 2 . r i 3 . r ɤː m 2
ซิงเกิล	s i ŋ . k ɤ n 2
สบ	s o p̚ 1
เตาไฟ	t a w . f a j
ดัตช์	d a t̚ 3
